Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
Chile,Aconcagua Alto Carmenère 2017,601,21.45,3.9,Aconcagua,red,Errazuriz,2017,60f33d7f00b871aef201f30b
France,"Cos d'Estournel 2011",602,193.01,4.3,Saint-Estèphe,red,"Cos d'Estournel",2011,60f33d7f00b871aef201f30c
Spain,Reserva Tinto 2016,602,29.15,4.2,Ribera del Duero,red,Pago de Los Capellanes,2016,60f33d7f00b871aef201f30d
Italy,Sito Moresco Langhe 2017,602,39.5,4.1,Langhe,red,Gaja,2017,60f33d7f00b871aef201f30e
Italy,Brunello di Montalcino 2014,602,27.43,4,Brunello di Montalcino,red,Camigliano,2014,60f33d7f00b871aef201f30f
Italy,Primitivo di Manduria Zolla 2017,6023,8.37,4.2,Primitivo di Manduria,red,Vigneti del Salento,2017,60f33d7f00b871aef201f310
Italy,Il Bacialé Monferrato Rosso 2016,603,15.76,3.8,Monferrato,red,Braida,2016,60f33d7f00b871aef201f311
France,Pessac-Léognan 2014,603,38.57,3.8,Pessac-Léognan,red,Château La Louvière,2014,60f33d7f00b871aef201f312
United States,"Founders' Estate Zinfandel 2018",603,12.9,3.7,California,red,Beringer,2018,60f33d7f00b871aef201f313
France,Pauillac (Premier Grand Cru Classé) 1991,603,866.59,4.4,Pauillac,red,Château Mouton Rothschild,1991,60f33d7f00b871aef201f314
France,"Vignes de Nicole Cabernet Sauvignon - Merlot Pays d'Oc 2018",604,7.5,3.8,"Pays d'Oc",red,Paul Mas,2018,60f33d7f00b871aef201f315
France,Margaux (Grand Cru Classé) 2008,605,78.95,4.1,Margaux,red,"Château d'Issan",2008,60f33d7f00b871aef201f316
Australia,Jaraman Shiraz 2017,605,16.77,4.1,McLaren Vale,red,Taylors / Wakefield,2017,60f33d7f00b871aef201f317
Italy,Valpolicella Classico 2018,606,8.68,3.6,Valpolicella Classico,red,Speri,2018,60f33d7f00b871aef201f318
France,Lalande-de-Pomerol 2016,606,24.01,4,Lalande-de-Pomerol,red,Château de la Commanderie,2016,60f33d7f00b871aef201f319
Italy,Rubio 2016,606,8.72,3.7,Toscana,red,Poggio San Polo,2016,60f33d7f00b871aef201f31a
France,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2006,607,341.17,4.5,Saint-Émilion Grand Cru,red,Château Pavie,2006,60f33d7f00b871aef201f31b
France,Saint-Julien (Grand Cru Classé) 1998,607,208.7,4.4,Saint-Julien,red,Château Ducru-Beaucaillou,1998,60f33d7f00b871aef201f31c
France,Margaux 2010,607,106.74,4.2,Margaux,red,Château Rauzan-Gassies,2010,60f33d7f00b871aef201f31d
Chile,Merlot (Carménère - Syrah) 2018,609,9.5,3.5,Rapel Valley,red,Trio,2018,60f33d7f00b871aef201f31e
Italy,Cepparello Red 2015,609,77.55,4.3,Toscana,red,Isole e Olena,2015,60f33d7f00b871aef201f31f
Portugal,Alentejano Tinto 2011,609,11.2,3.6,Alentejano,red,Herdade do Rocim,2011,60f33d7f00b871aef201f320
Italy,Amarone della Valpolicella Classico 2007,609,27.25,4.1,Amarone della Valpolicella Classico,red,Lenotti,2007,60f33d7f00b871aef201f321
Italy,NeroMàccarj 2011,61,25.71,4,Terre Siciliane,red,Gulfi,2011,60f33d7f00b871aef201f322
Spain,Graciano 2013,61,32.41,4,Dominio de Valdepusa,red,Marqués de Griñon,2013,60f33d7f00b871aef201f323
Romania,Concordia Fetească Neagră - Merlot 2013,61,11.9,3.6,Murfatlar,red,Alira,2013,60f33d7f00b871aef201f324
Italy,Dedicato a Walter Bolgheri Superiore 2005,61,99.9,4.5,Bolgheri Superiore,red,Poggio Al Tesoro,2005,60f33d7f00b871aef201f325
Chile,Vineyard Reserve 2016,61,24.2,4.2,Colchagua Valley,red,Encierra,2016,60f33d7f00b871aef201f326
